"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04355897","CoVID-19 Plasma in Treatment of COVID-19 Patients",,"Recruiting","No Results Available","COVID 19","Biological: Convalescent COVID 19 Plasma","Reduce mortality|Reduce requirement for mechanical ventilation.|Reduce the duration of mechanical ventilation.|Review of treatment related adverse events.","The Christ Hospital","All","18 Years to 80 Years   (Adult, Older Adult)","Early Phase 1","100","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-23","April 28, 2020","July 2020","August 2020","April 21, 2020",,"May 20, 2020","The Christ Hospital, Cincinnati, Ohio, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04355897"
12,"NCT04412265","Frailty in Elderly Patients With COVID-19","FRA-COVID","Recruiting","No Results Available","Covid19","Other: Relation between frailty and clinical outcomes in elderly patients with COVID-19.","Development of a tool to measure frailty|A ""proxy"" variable of the fragility index can be built on the basis of regional administrative databases only.|Give elements to focus the screening policies for COVID19.|Give the prevention of contagion at the elderly population level.","University of Milano Bicocca","All","18 Years and older   (Adult, Older Adult)",,"300","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","FRA-COVID","April 16, 2020","March 1, 2021","March 1, 2021","June 2, 2020",,"January 22, 2021","Dipartimento di Geriatria, Fondazione Poliambulanza, Brescia, Italy|Dipartimento di Medicina e Riabilitazione, Istituto Clinico Ospedale S. Anna, Brescia, Italy|UO Malattie Infettive, Spedali Civili, Brescia, Italy|UOC Medicina I a indirizzo Geriatrico, Spedali Civili, Montichiari, Italy|ASST Monza-Ospedale San Gerardo, Monza, Italy|SCDU Geriatria, AOU Città della Salute e della Scienza - Presidio Molinette, Torino, Italy",,"https://ClinicalTrials.gov/show/NCT04412265"
13,"NCT04659759","COVID-19 Pregnancy Related Immunological, Clinical and Epidemiological Factors and Perinatal Outcomes","COVID-PRICE","Recruiting","No Results Available","Covid19","Other: COVID-19 exposure|Biological: COVID-19 vaccine","Maternal COVID-19 serology (IgG and IgM)|Maternal/neonatal IgG and IgM concordance|Maternal COVID serology time/profile following vaccination|Breastmilk Serology|Cytokine|Neonatal cytokine|COVID disease vs vaccination immune response|COVID vaccine in pregnant vs nonpregnant","Thomas Jefferson University|Nemours","Female","Child, Adult, Older Adult",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20F.1043","November 17, 2020","December 31, 2021","June 30, 2022","December 9, 2020",,"March 5, 2021","Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04659759"
14,"NCT04427332","Smell and Taste Disorders in COVID-19 Patients","COVID-19 ORL","Completed","No Results Available","covid19","Other: Investigation of smell and taste disorders","Identification of demographic and clinical factors in covid19 patients.|Description of the disturbances of smell and taste|Description of factors that influence smell and taste","University of Milano Bicocca","All","18 Years and older   (Adult, Older Adult)",,"376","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","COVID-19 ORL","June 11, 2020","October 16, 2020","October 16, 2020","June 11, 2020",,"January 27, 2021","ASST Monza-Ospedale San Gerardo, Monza, Italy",,"https://ClinicalTrials.gov/show/NCT04427332"
15,"NCT04842708","Evaluation of Anti-COVID 19 Pfizer Vaccination Effect on COVID 19 Detection Using Breath Analysis","COVID-19","Recruiting","No Results Available","Covid19","Diagnostic Test: vaccination against COVID19","Association between breath VOCs and IgG in blood following second vaccination dose.|Association between VOCs profile and participants' clinical or demographic characteristics","Scentech Medical Technologies Ltd","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","50","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","Cov-2-SMC-V-2020","December 24, 2020","October 24, 2021","October 24, 2021","April 13, 2021",,"April 13, 2021","Shamir Medical Center, Be'er Ya'aqov, Israel",,"https://ClinicalTrials.gov/show/NCT04842708"
16,"NCT04367805","COVID-19 Infection in Patients With Hepatocellular Carcinoma","COVID19-CHIEF","Recruiting","No Results Available","Hepatocellular Carcinoma|COVID-19","Diagnostic Test: nasopharyngeal Covid 19 RT-PCR","Incidence of COVID-19 infection in patients with hepatocellular carcinoma in France","Centre Hospitalier Universitaire, Amiens|Centre Hospitalier-Universitaire Bondy|University Hospital, Bordeaux|Centre Hospitalier-Universitaire CLICHY|Centre Hospitalier Général CORBEIL-ESSONNE|CHU CRETEIL|University Hospital, Grenoble|University Hospital, Lille|CHU LYON|Poitiers University Hospital|Rennes University Hospital|University Hospital, Rouen|University Hospital, Toulouse|CHU VILLEJUIF|Central Hospital, Nancy, France|Centre Hospitalier Universitaire de Nice|University Hospital, Montpellier","All","18 Years and older   (Adult, Older Adult)",,"50","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","PI2020_843_0042","April 27, 2020","October 2020","October 2020","April 29, 2020",,"April 29, 2020","CHU Amiens, Amiens, France",,"https://ClinicalTrials.gov/show/NCT04367805"
17,"NCT04609969","Diagnostic Performance Evaluation of a Novel SARS-CoV-2 (COVID-19) Antigen Detection Test","COVID-VIRO","Completed","No Results Available","Covid19|SARS-CoV-2 Infection","Diagnostic Test: RT-qPCR test|Diagnostic Test: COVID-VIRO® test","Evaluation of COVID VIRO® diagnostic specificity|Evaluation of COVID VIRO® diagnostic sensitivity|Evaluation of COVID VIRO® diagnostic sensitivity for RT-qPCR Cycle threshold value < or > 28","Centre Hospitalier Régional d'Orléans","All","18 Years and older   (Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","CHRO-2020-18","October 13, 2020","October 17, 2020","October 17, 2020","October 30, 2020",,"December 7, 2020","Centre Hospitalier Régional d'Orléans, France, Orléans, France",,"https://ClinicalTrials.gov/show/NCT04609969"
18,"NCT04817553","Impact of COVID-19 on the Clinical Outcomes and Management of IgG4 Related Disease Patients","IgG4-COVID","Recruiting","No Results Available","IgG4 Related Disease|Covid19","Other: exposure to COVID19","Incidence of COVID-19 in IgG4 patients with pancreatobiliary involvement|Incidence of severe COVID-19 in IgG4 patients with pancreatobiliary involvement|Medications for the underlying IgG4 disease used when patient was diagnosed to have COVID-19|Risk factors associated with COVID-19 infection in IgG4 patients with pancreatobiliary involvement|Incidence of postponement or discontinuation of indicated medical treatment for the underlying IgG4 disease during COVID-19 outbreak","Chinese University of Hong Kong","All","18 Years and older   (Adult, Older Adult)",,"150","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","IgG4-COVID","March 24, 2021","July 2021","October 2021","March 26, 2021",,"March 26, 2021","Prince of Wales Hospital, The Chinese University of Hong Kong, Sha Tin, New Territories, Hong Kong",,"https://ClinicalTrials.gov/show/NCT04817553"
19,"NCT04632355","Musculoskeletal Pain in Patients With Covid-19 Who Have Hospital Care","Covid19-Pain","Not yet recruiting","No Results Available","Covid19","Other: Interview","Self-reported Version of the Leeds Assessment of Neuropathic Symptoms and Signs|PainDETEC|EuroQol-5D|The Hospital Anxiety and Depression Scale","Fondazione Don Carlo Gnocchi Onlus","All","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Covid19-Pain","December 1, 2020","July 31, 2021","July 31, 2021","November 17, 2020",,"November 19, 2020","Jorge Hugo Villafañe, Milan, Italy",,"https://ClinicalTrials.gov/show/NCT04632355"
20,"NCT04407585","Testing the Accuracy of a Digital Test to Diagnose Covid-19",,"Recruiting","No Results Available","Covid-19","Diagnostic Test: Covid-19 swab PCR test","SARS-CoV-2 infection","King's College London|Zoe Global Limited|Department of Health, United Kingdom","All","18 Years and older   (Adult, Older Adult)",,"1000000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Covid-19 Validation Study","June 1, 2020","May 10, 2021","May 10, 2021","May 29, 2020",,"June 24, 2020","King's College London, London, United Kingdom","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/85/NCT04407585/SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04407585"
21,"NCT04657510","Femoral frACturEs and COVID-19.","FACE COVID-19","Recruiting","No Results Available","Covid19|Femur Fracture|Fragility Fracture","Other: COVID-19","Survival at discharge day (comparison between the two groups)|Length of stay (comparison between the two groups)|Readmission rate (comparison between the two groups)|Complications rate (comparison between the two groups)|Survival at 30 days after discharge (comparison between the two groups)|Routine lab exams values (comparison between the two groups)","Istituto Ortopedico Galeazzi","All","45 Years and older   (Adult, Older Adult)",,"140","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","FACE COVID-19","November 14, 2020","December 1, 2020","December 31, 2020","December 8, 2020",,"December 8, 2020","IRCCS Istituto Ortopedico Galeazzi, Milano, Italy",,"https://ClinicalTrials.gov/show/NCT04657510"
22,"NCT04473170","Study Evaluating the Safety and Efficacy of Autologous Non-Hematopoietic Peripheral Blood Stem Cells in COVID-19","SENTAD-COVID","Completed","No Results Available","Coronavirus Disease 2019 (COVID-19)","Biological: Autologous Non-Hematopoietic Peripheral Blood Stem Cells (NHPBSC)|Drug: COVID-19 standard care","Adverse reactions incidence.|Rate of mortality within 28-days.|Time to clinical improvement on a seven-category ordinal scale.|Assessment of the immune response profile.|Assessment of acute-phase serum markers.","Abu Dhabi Stem Cells Center","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","146","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CT.001.1.0.SENTAD-COVID","April 4, 2020","May 20, 2020","July 14, 2020","July 16, 2020",,"July 16, 2020","Abu Dhabi Stem Cells Center, Abu Dhabi, United Arab Emirates",,"https://ClinicalTrials.gov/show/NCT04473170"
23,"NCT04497298","Clinical Trial to Evaluate the Safety and Immunogenicity of the COVID-19 Vaccine","COVID-19-101","Active, not recruiting","No Results Available","COVID-19","Biological: Two COVID-19 vaccine candidate (TMV-083) administrations - Low dose|Biological: Two COVID-19 vaccine candidate (TMV-083) administrations - High dose|Biological: One COVID-19 vaccine candidate (TMV-083) administration - High dose|Other: Placebo","To assess the safety and tolerability of the COVID-19 vaccine following one or two consecutive intramuscular injections in healthy volunteers|To assess induction of SARS-CoV-2 spike protein-binding antibodies upon one or two administrations of the COVID-19 vaccine by means of ELISA up to study day 56|To assess induction of SARS-CoV-2 neutralizing antibodies upon one or two administrations of the COVID-19 vaccine by means of serum neutralization assay up to study day 91|To assess SARS-CoV-2 spike protein-specific, cell-mediated immune responses up to study day 91, induced by one or two doses of vaccine, by means of intracellular staining and flow cytometry.|To assess potential measles virus shedding by means of RT-qPCR of saliva, nasal swab, urine, or blood samples in sentinel groups on day 0 and up to day 42","Institut Pasteur|Themis Bioscience GmbH|Coalition for Epidemic Preparedness Innovations","All","18 Years to 55 Years   (Adult)","Phase 1","90","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","2020-016|2020-002973-89","August 10, 2020","June 2021","July 2021","August 4, 2020",,"April 13, 2021","SGS Life Sciences, Clinical Pharmacology Unit, Antwerp, Belgium|CIC Cochin - Pasteur, Paris, France",,"https://ClinicalTrials.gov/show/NCT04497298"
24,"NCT04549831","Genetic Bases of COVID-19 Clinical Variability","GEN-COVID","Recruiting","No Results Available","COVID-19","Genetic: Massive parallel sequencing of host genome","To identify the genetic determinants of COVID-19 severity|To identify the genetic determinants of COVID-19 clinical trajectories.","University of Siena|Policlinico San Matteo Pavia Fondazione IRCCS|Ospedale San Donato, Arezzo|Ospedale della Misericordia|Azienda Ospedaliera Ospedale Maggiore di Crema|University of Modena and Reggio Emilia|ASST Fatebenefratelli Sacco|Azienda Ospedaliera di Perugia|Ospedale dell'Angelo, Venezia-Mestre|Azienda Ulss 2 Marca Trevigiana|Cardarelli Hospital|Azienda Ospedaliera dei Colli|IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy|Istituto Giannina Gaslini|Istituti Ospitalieri di Cremona|IRCSS Lazzaro Spallanzani, Roma|ASST Santi Paolo e Carlo|ASST Valtellina e Alto Lario|Azienda USL Toscana Sud Est|ULSS1 Dolomiti, Belluno|ASST Spedali Civili, Brescia|IRCCS Casa Sollievo della Sofferenza, San Giovanni Rotondo|Fondazione Policlinico Universitario Agostino Gemelli IRCCS|Ospedale Luigi Curto, Polla|Istituto Auxologico Italiano|CEINGE Biotecnologie Avanzate, Napoli","All","18 Years and older   (Adult, Older Adult)",,"2000","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","16917","April 8, 2020","April 8, 2021","April 8, 2026","September 16, 2020",,"September 17, 2020","University of Siena, Siena, Italy",,"https://ClinicalTrials.gov/show/NCT04549831"
25,"NCT04706390","Comparison of the Immune Response to Natural COVID-19 Infection and Vaccination","COVID19vac-1","Recruiting","No Results Available","Covid19","Biological: covid-19 vaccine","immune responses|Duration and breadth of B- and T cell responses|Immune responses in healthy people and patient groups at risk","University of Bergen|Haukeland University Hospital","All","20 Years to 100 Years   (Adult, Older Adult)",,"2500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","COVID-19vacc-1","January 12, 2021","January 12, 2022","January 12, 2024","January 12, 2021",,"January 12, 2021","University of Bergen, Bergen, Norway",,"https://ClinicalTrials.gov/show/NCT04706390"
26,"NCT04632719","The MentalPlus® for Assessment and Rehabilitation of Cognitive Function After Remission of the Symptoms of COVID-19","MP-COVID","Recruiting","No Results Available","Cognitive Impairment|Covid19|Cognitive Dysfunction|Depression, Anxiety|Quality of Life","Device: The use of the MentalPlus® digital game for assessment and rehabilitation of cognitive function after remission of the symptoms of COVID-19","Assessment of cognitive functions after COVID-19|Rehabilitation of cognitive functions after COVID-19","University of Sao Paulo","All","8 Years to 88 Years   (Child, Adult, Older Adult)","Not Applicable","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MentalPlus®","November 8, 2020","December 29, 2020","December 29, 2023","November 17, 2020",,"November 17, 2020","Livia Stocco Sanches Valentin, São Paulo, SP, Brazil|Livia Stocco Sanches Valentin, Sao Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT04632719"
27,"NCT04427345","Predictive Factors COVID-19 Patients","MI-COVID","Recruiting","No Results Available","covid19","Other: Predictive factors for clinical response in patients with COVID-19.","Identify risk factors for intra-hospital mortality.|Identify risk factors to build a prognostic score.|Predictive factors for the hospitalization duration.|Predictive factors for clinical status patients based on ""Ordinal Scale for Clinical Improvement""|Describe the anti-viral therapies used commonly in this emergency in terms of efficacy|Describe the anti-viral therapies used commonly used in this emergency in terms of safety|Monitor the clinical course of the disease in discharged patients.","University of Milano Bicocca","All","18 Years and older   (Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","MI-COVID","April 30, 2020","April 30, 2021","April 30, 2021","June 11, 2020",,"November 9, 2020","ASST Monza-Ospedale San Gerardo, Monza, Italy",,"https://ClinicalTrials.gov/show/NCT04427345"
28,"NCT04424004","MURDOCK Cabarrus County COVID-19 Prevalence and Immunity (C3PI) Study","C3PI","Active, not recruiting","No Results Available","COVID 19","Other: COVID-19 PCR and serology testing","Estimate the prevalence of COVID-19 infection based on responses to questionnaire items on symptoms and practices using a biweekly electronic survey.|Assess perceptions, concerns, and practices related to the COVID-19 pandemic and mitigation strategies|Estimate of the prevalence of active infection in Cabarrus County.|Estimate of the prevalence of exposure and potential immunity to COVID-19.","Duke University|North Carolina Department of Health and Human Services","All","18 Years and older   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Cross-Sectional","Pro00105703","June 9, 2020","June 30, 2021","June 30, 2021","June 9, 2020",,"November 17, 2020","Duke CTSI Translational Population Health Office, Kannapolis, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04424004"
29,"NCT04407494","Diagnostic Value of Patient - Reported and Clinically Verified Olfactory Disorders (COVID-19)","COVID-OLFA","Completed","No Results Available","COVID-19","Biological: Reporting of anosmia, ageusia and other clinical symptoms","Diagnostic values of anosmia and ageusia for COVID-19|Diagnostic values of CODA","University Hospital, Montpellier","All","18 Years and older   (Adult, Older Adult)",,"809","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","RECHMPL20_0176","March 1, 2020","April 1, 2020","April 30, 2020","May 29, 2020",,"June 1, 2020","Uhmontpellier, Montpellier, France",,"https://ClinicalTrials.gov/show/NCT04407494"
30,"NCT04360811","Assessment of Obstetric, Fetal and Neonatal Risks and Vertical SARS-CoV-2 Transmission During COVID-19 Pandemic","COroFet","Recruiting","No Results Available","Pregnancy","Diagnostic Test: COVID 19 diagnostic test by PCR","number of positive COVID-19 women","University Hospital, Toulouse","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","3600","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","RC31/20/0123","April 17, 2020","April 2021","April 2022","April 24, 2020",,"April 24, 2020","University Hospital of Toulouse, Toulouse, France",,"https://ClinicalTrials.gov/show/NCT04360811"
